E,E_sigma,steps,geom_id,n_atom,R,k,weight
-5.570188522338867,4.229979875544572e-05,100000,38,10,1.7,0.5,0.25
-5.730231285095215,3.618641003571156e-05,100000,39,10,1.8,0.0,0.25
-5.692940711975098,4.1767909883947085e-05,100000,40,10,1.8,0.25,0.5
-5.598188877105713,3.4483512862926025e-05,100000,41,10,1.8,0.5,0.25
-5.723546028137207,3.0160163552991052e-05,100000,42,10,1.9,0.0,0.25
-5.6901960372924805,3.053074192911205e-05,100000,43,10,1.9,0.25,0.5
-5.606819152832031,3.386485400139345e-05,100000,44,10,1.9,0.5,0.25
-5.704952239990234,4.762830862313859e-05,100000,45,10,2.0,0.0,0.25
-5.675268173217773,3.236259014129731e-05,100000,46,10,2.0,0.25,0.5
-5.60141658782959,3.223652076208321e-05,100000,47,10,2.0,0.5,0.25
-6.709925651550293,4.439608549514418e-05,100000,48,12,1.7,0.0,0.25
-6.8002028465271,4.06307448203055e-05,100000,49,12,1.7,0.25,0.5
-6.835233688354492,3.934959306303457e-05,100000,50,12,1.7,0.5,0.25
-6.739173889160156,4.698950677468967e-05,100000,51,12,1.8,0.0,0.25
-6.8186469078063965,3.928454355411074e-05,100000,52,12,1.8,0.25,0.5
-6.849598407745361,3.775014150372392e-05,100000,53,12,1.8,0.5,0.25
-6.747374534606934,3.903426082432965e-05,100000,54,12,1.9,0.0,0.25
-6.816389083862305,3.797005096246082e-05,100000,55,12,1.9,0.25,0.5
-6.843906402587891,3.738173413446364e-05,100000,56,12,1.9,0.5,0.25
-6.740541934967041,3.946920148418116e-05,100000,57,12,2.0,0.0,0.25
-6.799242973327637,3.713581944966132e-05,100000,58,12,2.0,0.25,0.5
-6.823911190032959,3.5646716993267564e-05,100000,59,12,2.0,0.5,0.25
